night,target,tic_id,filter,frame_first,frame_last,exp_time_s,expose_per_posn,dither_posns,is_flat,notes,manual_veto
20241219,TIC_151058955,151058955,Ks,326,415,20.0,18.0,5.0,False,Some fluctuations. Object round.,False
20241219,TIC_117880865,117880865,Ks,416,416,30.0,1.0,1.0,False,3k,False
20241219,TIC_117880865,117880865,Ks,417,417,120.0,1.0,1.0,False,11k,False
20241219,TIC_117880865,117880865,Ks,418,428,120.0,3.0,5.0,False,"419 17k, 427 is bad, aborted 428, might be wind. This might be enough",True
20241219,TIC_10056120,10056120,Ks,429,430,120.0,1.0,1.0,False,Try something in the north. This is faint. 10k,False
20241219,TIC_10056120,10056120,Ks,431,435,120.0,1.0,5.0,False,"13k, 433 19k, 434 20k, 435 aborted. Condition improved and overexposed.",True
20241219,TIC_10056120,10056120,Ks,436,436,60.0,1.0,1.0,False,10k,False
20241219,TIC_10056120,10056120,Ks,437,446,60.0,2.0,5.0,False,Redid background after this,False
20241219,TIC_10056120,10056120,Ks,447,456,60.0,2.0,5.0,False,"Done, no problem",False
20241219,TIC_46739994,46739994,Ks,457,458,30.0,1.0,1.0,False,,False
20241219,TIC_46739994,46739994,Ks,459,459,180.0,1.0,1.0,False,Too much wind. Can't stablize,False
20241219,TIC_265168621,265168621,Ks,460,460,30.0,1.0,1.0,False,3k,False
20241219,TIC_265168621,265168621,Ks,461,461,90.0,1.0,1.0,False,10k,False
